rank,company,return_5y_pct,return_10y_pct,stoxx_ticker,yf_ticker,idBbCompany
127,Ipsen SA,112.9,222.0,IPN-FR,IPN.PA,1711780.0
128,Equinor ASA,145.3,221.6,EQNR-NO,EQNR.OL,182074.0
129,Wartsila Oyj Abp,254.4,218.6,WRT1V-FI,WRT1V.HE,115782.0
130,Tele2 AB Class B,99.7,217.0,TEL2.B-SE,TEL2-B.ST,180718.0
131,ING Groep N.V.,184.8,214.9,INGA-NL,INGA.AS,115823.0
132,Banca Generali S.p.A.,111.4,211.9,BGN-IT,BGN.MI,1135757.0
133,Tesco PLC,129.3,211.6,TSCO-GB,TSCO.L,112370.0
134,KBC Group N.V.,100.5,210.6,KBC-BE,KBC.BR,866857.0
135,Hannover Rueck SE,85.1,209.4,HNR1-DE,HNR1.DE,153902.0
136,Erste Bank Polska S.A.,238.9,205.7,EBP-PL,EBP.WA,
137,NatWest Group Plc,239.3,205.4,NWG-GB,NWG.L,307409.0
138,"Banco Santander, S.A.",237.0,201.9,SAN-ES,SAN.MC,28320406.0
139,Buzzi Spa,117.4,201.5,BZU-IT,BZU.MI,113157.0
140,Helvetia Baloise Holding AG,174.3,200.1,HBAN-CH,HBAN.SW,104323.0
141,Drax Group plc,144.2,193.7,DRX-GB,DRX.L,9405716.0
142,Azimut Holding Spa,111.4,188.9,AZM-IT,AZM.MI,970983.0
143,Novartis AG,110.1,187.1,NOVN-CH,NOVN.SW,180580.0
144,IMI plc,76.9,186.5,IMI-GB,IMI.L,69814073.0
145,Skandinaviska Enskilda Banken AB Class A,99.1,186.4,SEB.A-SE,SEB-A.ST,116937.0
146,Zealand Pharma A/S,80.2,182.4,ZEAL-DK,ZEAL.CO,50395574.0
147,ENGIE S.A.,180.9,181.8,ENGI-FR,ENGI.PA,156070.0
148,BNP Paribas S.A. Class A,102.9,180.7,BNP-FR,BNP.PA,115245.0
149,Banque Cantonale Vaudoise,84.1,179.2,BCVN-CH,BCVN.SW,118520.0
150,ORLEN Spolka Akcyjna,147.2,175.1,PKN-PL,PKN.WA,100503.0
151,Powszechny Zaklad Ubezpieczen Spolka Akcyjna,143.2,173.9,PZU-PL,PZU.WA,944127.0
152,Heidelberg Materials AG,170.2,172.3,HEI-DE,HEI.DE,117596.0
153,Serco Group plc,99.7,172.0,SRP-GB,SRP.L,114689.0
154,Tenaris S.A.,204.3,171.6,TEN-IT,TEN.MI,118693.0
155,Nokia Oyj,196.3,171.3,NOKIA-FI,NOKIA.HE,115790.0
156,Orion Oyj Class B,109.4,170.2,ORNBV-FI,ORNBV.HE,10159180.0
157,Nordea Bank Abp,139.7,170.0,NDA.FI-FI,NDA-FI.HE,153536.0
158,Credit Agricole SA,66.5,168.5,ACA-FR,ACA.PA,7365323.0
159,Julius Baer Gruppe AG,70.3,168.1,BAER-CH,BAER.SW,17149777.0
160,Ackermans & van Haaren NV,124.7,166.5,ACKB-BE,ACKB.BR,117002.0
161,Endesa S.A.,94.9,166.3,ELE-ES,ELE.MC,227606.0
162,Man Group PLC,106.2,164.5,EMG-GB,EMG.L,52500403.0
163,Terna S.p.A.,89.1,162.4,TRN-IT,TRN.MI,14210747.0
164,AXA SA,116.7,161.8,CS-FR,CS.PA,115239.0
165,Barclays PLC,148.5,160.6,BARC-GB,BARC.L,100169.0
166,Repsol SA,140.7,158.2,REP-ES,REP.MC,69746410.0
167,Bank of Ireland Group Plc,264.0,157.3,BIRG-IE,BIRG.IR,53427397.0
168,A2A S.p.A.,68.7,153.7,A2A-IT,A2A.MI,60767329.0
169,Next plc,75.0,153.2,NXT-GB,NXT.L,21583694.0
170,Trelleborg AB Class B,75.7,152.9,TREL.B-SE,TREL-B.ST,115783.0
