ticker,companyName,bics_sector,encore_score,aqueduct_score,nature_risk_raw,nature_risk_score,nature_risk_tier,nature_risk_method
NESN.SW,Nestle SA,Consumer Staples,3.0,3.0,3.0,50.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
NESN.SW,Nestle SA,Consumer Staples,3.0,3.0,3.0,50.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
NESN.SW,Nestle SA,Consumer Staples,3.0,3.0,3.0,50.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
NESN.SW,Nestle SA,Consumer Staples,3.0,3.0,3.0,50.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
BN.PA,Danone SA,Consumer Staples,3.0,3.0,3.0,50.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
HEIA.AS,Heineken NV,Consumer Staples,3.0,3.0,3.0,50.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
CARL-B.CO,Carlsberg AS,Consumer Staples,3.0,3.0,3.0,50.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
OR.PA,L'Oreal SA,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
MC.PA,LVMH,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ITX.MC,Inditex,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ADS.DE,Adidas AG,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
RI.PA,Pernod Ricard,Consumer Staples,3.0,3.0,3.0,50.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
BAS.DE,BASF SE,Materials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
AI.PA,Air Liquide,Materials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
MT.AS,ArcelorMittal,Materials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
HOLN.SW,Holcim AG,Materials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
VOW3.DE,Volkswagen AG,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
BMW.DE,BMW AG,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
STLAM.MI,Stellantis NV,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
VOLV-B.ST,Volvo AB,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
RNO.PA,Renault SA,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
DTE.DE,Deutsche Telekom,Telecommunications,1.5,1.5,1.5,12.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ORA.PA,Orange SA,Telecommunications,1.5,1.5,1.5,12.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
VOD.L,Vodafone Group,Telecommunications,1.5,1.5,1.5,12.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
VNA.DE,Vonovia SE,Real Estate,2.8,2.0,2.48,37.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
GFC.PA,Gecina SA,Real Estate,2.8,2.0,2.48,37.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
